tweetText,tweetCreated,tweetLength,negSentiment,neuSentiment,posSentiment,comSentiment,Company,label
"@FLPolyU is collaborating with a school in Estonia to advance their research + application of autonomous vehicle technology in Florida and Europe. The agreement fosters the development of AV technology within cities, campuses + other controlled settings.
https://t.co/u2vxHe3LvU",2019-04-12T15:00:01Z,278,0,0.914,0.086,0.4939,Florida Poly,Positive
"RT @FLPolyU: ??????

Some of our favorite pics from today's Game Expo on campus. https://t.co/K7Dkz78wQV",2019-04-12T03:35:34Z,101,0,0.824,0.176,0.4588,Florida Poly,Positive
"RT @FLPolyU: Get to know the graduating class of 2019! ??

Meet computer science major, Presidential Ambassador, and Iron Man enthusiast Vam…",2019-04-12T03:28:43Z,140,0,0.887,0.113,0.4199,Florida Poly,Positive
"I showed off a game demo @FLPolyU's Game Expo. Want a chance to play it?
Download it here: https://t.co/pNL16zamRs https://t.co/WYHXWwoDzZ",2019-04-12T00:27:12Z,138,0,0.711,0.289,0.5719,Florida Poly,Neutral
"RT @FLPolyU: Get to know the graduating class of 2019! ??

Meet computer science major, Presidential Ambassador, and Iron Man enthusiast Vam…",2019-04-11T15:49:46Z,140,0,0.887,0.113,0.4199,Florida Poly,Positive
"More exciting news from @FLPolyU, as they announce their partnership with @TallinnTech. Cool stuff! #technology #autonomousvehicles #selfdrivingcars #Florida https://t.co/PPNtfmFbLs via @scibus",2019-04-11T14:34:40Z,193,0,0.757,0.243,0.7257,Florida Poly,Positive
@YurisNight_FL @ExploreSpaceKSC @FloridaTech @SEDS_FLPoly @FLPolyU @EmbryRiddle @UCF @sedsucf That gif though,2019-04-11T13:09:10Z,109,0,1,0,0,Florida Poly,Negative
"RT @FLPolyU: It's OFFICIAL! 

Today we joined forces with @TallinnTech in Estonia to advance the research and application of autonomous vec…",2019-04-11T01:31:57Z,140,0,1,0,0,Florida Poly,Neutral
"RT @FLPolyU: It's OFFICIAL! 

Today we joined forces with @TallinnTech in Estonia to advance the research and application of autonomous vec…",2019-04-11T01:19:16Z,140,0,1,0,0,Florida Poly,Neutral
RT @YurisNight_FL: STUDENT PRICING–students coming to Yuri’s Night Space Coast party–your discount code is STUDENT30. $30 w/ student ID at…,2019-04-10T22:52:40Z,139,0,1,0,0,Florida Poly,Neutral
RT @YurisNight_FL: STUDENT PRICING–students coming to Yuri’s Night Space Coast party–your discount code is STUDENT30. $30 w/ student ID at…,2019-04-10T22:06:25Z,139,0,1,0,0,Florida Poly,Neutral
.@FLPolyU and Estonian university TalTech team up on autonomous vehicles https://t.co/DGcHPGANht,2019-04-10T21:58:14Z,96,0,1,0,0,Florida Poly,Neutral
"RT @FLPolyU: It's OFFICIAL! 

Today we joined forces with @TallinnTech in Estonia to advance the research and application of autonomous vec…",2019-04-10T20:49:36Z,140,0,1,0,0,Florida Poly,Neutral
@YurisNight_FL @ExploreSpaceKSC @SEDS_FLPoly @FLPolyU @EmbryRiddle @UCF @sedsucf BEST. GIF. EVER,2019-04-10T20:07:26Z,96,0,0.646,0.354,0.7125,Florida Poly,Positive
RT @Fla_Pol: .@FLPolyU partners with Estonian university on #AutonomousVehicle tech via @JanelleIrwinFL https://t.co/sIorx19WV0 #FlaPol htt…,2019-04-10T19:34:22Z,140,0,1,0,0,Florida Poly,Neutral
RT @YurisNight_FL: STUDENT PRICING–students coming to Yuri’s Night Space Coast party–your discount code is STUDENT30. $30 w/ student ID at…,2019-04-10T19:23:11Z,139,0,1,0,0,Florida Poly,Neutral
RT @PhilAmmann: .@FLPolyU partners with Estonian university on #AutonomousVehicle tech via @Fla_Pol https://t.co/ndFyDUobLb #FlaPol https:/…,2019-04-10T19:21:17Z,140,0,1,0,0,Florida Poly,Negative
RT @YurisNight_FL: STUDENT PRICING–students coming to Yuri’s Night Space Coast party–your discount code is STUDENT30. $30 w/ student ID at…,2019-04-10T19:13:09Z,139,0,1,0,0,Florida Poly,Neutral
.@FLPolyU partners with Estonian university on #AutonomousVehicle tech via @Fla_Pol https://t.co/ndFyDUobLb #FlaPol https://t.co/s6ygPKpeD6,2019-04-10T19:10:32Z,139,0,1,0,0,Florida Poly,Neutral
.@FLPolyU partners with Estonian university on #AutonomousVehicle tech via @JanelleIrwinFL https://t.co/sIorx19WV0 #FlaPol https://t.co/HK2KXjUKU0,2019-04-10T19:10:31Z,146,0,1,0,0,Florida Poly,Negative
RT @Estonia_in_US: Technological ties between #Estonia and the USA are expanding. Today cooperation agreement between @TallinnTech and @FLP…,2019-04-10T18:55:04Z,140,0,0.842,0.158,0.4939,Florida Poly,Negative
RT @Estonia_in_US: Technological ties between #Estonia and the USA are expanding. Today cooperation agreement between @TallinnTech and @FLP…,2019-04-10T18:53:21Z,140,0,0.842,0.158,0.4939,Florida Poly,Positive
RT @Estonia_in_US: Technological ties between #Estonia and the USA are expanding. Today cooperation agreement between @TallinnTech and @FLP…,2019-04-10T18:35:09Z,140,0,0.842,0.158,0.4939,Florida Poly,Neutral
Technological ties between #Estonia and the USA are expanding. Today cooperation agreement between @TallinnTech and @FLPolyU was signed at our Embassy to join forces for future development and increasing security of automated vehicles. https://t.co/OMeVKjzhBA,2019-04-10T18:28:57Z,259,0,0.799,0.201,0.7783,Florida Poly,Positive
"STUDENT PRICING–students coming to Yuri’s Night Space Coast party–your discount code is STUDENT30. $30 w/ student ID at check in. This Saturday at @ExploreSpaceKSC, 8pm-12:30am! @FloridaTech @SEDS_FLPoly @FLPolyU @EmbryRiddle @ucf @sedsucf GET TIX HERE: https://t.co/dqnHgrIUPi https://t.co/lL2GkCm1T0",2019-04-10T18:14:43Z,301,0,1,0,0,Florida Poly,Neutral
"“I had to pick up on my opponent’s tendencies and see what they didn’t like as far as what I was running on offense or defense.” @Chritobin @FLPolyU #MaddenChallenge
https://t.co/Jt1pxsXCF8",2019-04-10T14:00:30Z,189,0.063,0.857,0.079,0.128,Florida Poly,Positive
RT @reisanar: Superb job by @Khanzi_w from @FLPolyU for his final project. Text mining on the popularity of the 2020 Presidential election…,2019-04-10T06:40:56Z,139,0,0.735,0.265,0.802,Florida Poly,Positive
@dques2766 @reisanar @FLPolyU @drob @juliasilge Check the missing candidates page.,2019-04-09T22:12:59Z,82,0.196,0.804,0,-0.296,Florida Poly,Negative
"RT @FLPolyU: An all-day inclusive geek culture celebration? We’re in! ??

Who else had a blast at this year’s 5??th annual @FLPolyCon?! http…",2019-04-09T22:07:50Z,140,0.067,0.779,0.154,0.5178,Florida Poly,Positive
@reisanar @Khanzi_w @FLPolyU @drob @juliasilge It would be nice to combine with the graph of the popularity of the President in Capitol Hill like it is done in one of the datasets from Lock5 book,2019-04-09T22:05:40Z,195,0,0.792,0.208,0.8126,Florida Poly,Positive
"@reisanar @Khanzi_w @FLPolyU @drob @juliasilge I only see two candidates, Democrats alone have over 8 already and the number of Republicans not sure, ...",2019-04-09T22:04:02Z,153,0.163,0.783,0.054,-0.3944,Florida Poly,Negative
RT @reisanar: Superb job by @Khanzi_w from @FLPolyU for his final project. Text mining on the popularity of the 2020 Presidential election…,2019-04-09T21:38:07Z,139,0,0.735,0.265,0.802,Florida Poly,Positive
RT @reisanar: Superb job by @Khanzi_w from @FLPolyU for his final project. Text mining on the popularity of the 2020 Presidential election…,2019-04-09T21:30:14Z,139,0,0.735,0.265,0.802,Florida Poly,Neutral
"Superb job by @Khanzi_w from @FLPolyU for his final project. Text mining on the popularity of the 2020 Presidential election candidates using Twitter data. Check his app here: https://t.co/O6LeTRTmIT

#rstats #rtweet #DataScience #shiny @drob @juliasilge",2019-04-09T21:23:45Z,254,0,0.821,0.179,0.802,Florida Poly,Positive
"Christian Lomenzo has a pithy strategy for playing Madden NFL: “Get my best player the ball.” @MaddenLeagueOps @FLPolyU 
https://t.co/g15UayhpYx",2019-04-09T18:00:33Z,144,0,0.727,0.273,0.7184,Florida Poly,Negative
".@FLPolyU Student Wins Madden NFL Championship and $35K #esports
https://t.co/g15UayhpYx",2019-04-09T15:42:00Z,88,0,0.548,0.452,0.765,Florida Poly,Positive
"Our new register has arrived, and we are back in business!  Thank you for your patience during our technical difficulties. @FLPolyHousing @FLPolyU https://t.co/qF1mx1Bcxz",2019-04-08T15:30:13Z,170,0.085,0.808,0.107,0.1511,Florida Poly,Negative
"Special thanks to #DigitalOrlando2019 catalyst level partner @FLPolyU 

Learn more: https://t.co/6yV3twxnZC https://t.co/MOsbXZl29r",2019-04-08T14:18:01Z,131,0,0.641,0.359,0.6808,Florida Poly,Positive
"RT @YurisNight_FL: ANNOUNCING OUR LATEST AMBASSADOR–@flpolyu engineering student, NASA Solar Ambassador, @owensfellowship Fellow, and space…",2019-04-07T09:56:06Z,140,0,1,0,0,Florida Poly,Neutral
"RT @YurisNight_FL: ANNOUNCING OUR LATEST AMBASSADOR–@flpolyu engineering student, NASA Solar Ambassador, @owensfellowship Fellow, and space…",2019-04-06T16:09:15Z,140,0,1,0,0,Florida Poly,Positive
"Join us at #stemapalooza @FLPolyU to ""dive"" into STEM! https://t.co/2cOfKcb7Ui",2019-04-06T14:17:45Z,78,0,0.783,0.217,0.3595,Florida Poly,Positive
"RT @YurisNight_FL: ANNOUNCING OUR LATEST AMBASSADOR–@flpolyu engineering student, NASA Solar Ambassador, @owensfellowship Fellow, and space…",2019-04-06T05:47:20Z,140,0,1,0,0,Florida Poly,Positive
"RT @SOFWERX: Meet Libby, a Data Science intern at #SOFWERX &amp; a Computer Science student @FLPolyU. Libby has been conducting research on Geo…",2019-04-06T02:40:24Z,144,0,1,0,0,Florida Poly,Neutral
"@PaytonBarnwell @sedsucf @blueorigin @FLPolyU Jim Brice is wonderful! I met him at a @sedsusa retreat while he was still working in DC. He was also a docent at the @airandspace, and was kind enough to give me and my dad a tour on my way to intern at @NASA_Langley. SEDS fam is the best.",2019-04-06T01:38:28Z,286,0,0.775,0.225,0.9245,Florida Poly,Positive
"Just met with the original founder of @sedsucf, nbd ???????

Mr. Brice was kind enough to drive over from @blueorigin and speak with @FLPolyU SEDS about Blue's mission and the the best industry ever - SPACE! ??",2019-04-05T21:44:23Z,207,0,0.696,0.304,0.9402,Florida Poly,Positive
"Meet Libby, a Data Science intern at #SOFWERX &amp; a Computer Science student @FLPolyU. Libby has been conducting research on Geospatial Data Science, learning platforms such as Node.js &amp; Python. After graduating, she hopes to develop training simulation technologies. https://t.co/dtOKKbstyx",2019-04-05T21:08:51Z,297,0,0.93,0.07,0.4215,Florida Poly,Positive
"RT @YurisNight_FL: ANNOUNCING OUR LATEST AMBASSADOR–@flpolyu engineering student, NASA Solar Ambassador, @owensfellowship Fellow, and space…",2019-04-05T19:51:13Z,140,0,1,0,0,Florida Poly,Neutral
@YurisNight_FL @FLPolyU @owensfellowship @PaytonBarnwell @ExploreSpaceKSC Good luck.,2019-04-05T19:40:47Z,84,0,0.459,0.541,0.7096,Florida Poly,Positive
"RT @YurisNight_FL: ANNOUNCING OUR LATEST AMBASSADOR–@flpolyu engineering student, NASA Solar Ambassador, @owensfellowship Fellow, and space…",2019-04-05T19:39:42Z,140,0,1,0,0,Florida Poly,Negative
"RT @YurisNight_FL: ANNOUNCING OUR LATEST AMBASSADOR–@flpolyu engineering student, NASA Solar Ambassador, @owensfellowship Fellow, and space…",2019-04-05T19:07:00Z,140,0,1,0,0,Florida Poly,Negative
"Florida Polytechnic University (@FLPolyU)'s grant to develop a new Digital Forensics course is a win for Orlando's #cybersecurity sector. ?? #ThisisOrlando

Read more: https://t.co/tVud5RzxY0",2019-04-05T18:11:00Z,190,0,0.769,0.231,0.743,Florida Poly,Positive
@PaytonBarnwell @YurisNight_FL @FLPolyU @owensfellowship @ExploreSpaceKSC Yes! I can't believe we haven't crossed paths in the real world yet.,2019-04-05T17:30:33Z,142,0,0.842,0.158,0.4574,Florida Poly,Positive
"RT @YurisNight_FL: ANNOUNCING OUR LATEST AMBASSADOR–@flpolyu engineering student, NASA Solar Ambassador, @owensfellowship Fellow, and space…",2019-04-05T17:30:30Z,140,0,1,0,0,Florida Poly,Neutral
@LucRiesbeck @YurisNight_FL @FLPolyU @owensfellowship @ExploreSpaceKSC Thank you! I am honored to represent for the #Brookie family (and it doesn't hurt that it's at a space party ??) ??,2019-04-05T17:26:57Z,184,0,0.607,0.393,0.9227,Florida Poly,Positive
@SpaceBrendan @YurisNight_FL @FLPolyU @owensfellowship @ExploreSpaceKSC Thank ya! See ya (irl!!) Soon!,2019-04-05T17:25:22Z,102,0,0.732,0.268,0.5673,Florida Poly,Negative
@YurisNight_FL @FLPolyU @owensfellowship @PaytonBarnwell @ExploreSpaceKSC Congrats! See you there @PaytonBarnwell !,2019-04-05T15:43:04Z,115,0,0.693,0.307,0.6103,Florida Poly,Positive
"@PaytonBarnwell @YurisNight_FL @FLPolyU @owensfellowship @ExploreSpaceKSC I am so, so FREAKING proud of you, Payton.",2019-04-05T15:42:27Z,116,0.25,0.563,0.187,-0.3046,Florida Poly,Negative
"RT @YurisNight_FL: ANNOUNCING OUR LATEST AMBASSADOR–@flpolyu engineering student, NASA Solar Ambassador, @owensfellowship Fellow, and space…",2019-04-05T15:20:56Z,140,0,1,0,0,Florida Poly,Neutral
"RT @Estonia_in_US: In cooperation with @TallinnTech and @FLPolyU the EMbassy hosts on April, 10 autonomous vehicles seminar “Science and Te…",2019-04-05T09:55:57Z,140,0,1,0,0,Florida Poly,Positive
@YurisNight_FL @FLPolyU @owensfellowship @PaytonBarnwell @ExploreSpaceKSC Woohoo go @PaytonBarnwell!!,2019-04-05T06:18:57Z,101,0,0.643,0.357,0.5972,Florida Poly,Positive
"RT @YurisNight_FL: ANNOUNCING OUR LATEST AMBASSADOR–@flpolyu engineering student, NASA Solar Ambassador, @owensfellowship Fellow, and space…",2019-04-05T00:35:40Z,140,0,1,0,0,Florida Poly,Positive
"RT @YurisNight_FL: ANNOUNCING OUR LATEST AMBASSADOR–@flpolyu engineering student, NASA Solar Ambassador, @owensfellowship Fellow, and space…",2019-04-04T23:15:28Z,140,0,1,0,0,Florida Poly,Neutral
@YurisNight_FL @FLPolyU @owensfellowship @PaytonBarnwell @ExploreSpaceKSC yayy!,2019-04-04T22:51:02Z,79,0,1,0,0,Florida Poly,Neutral
@YurisNight_FL @SEDSSpaceVision @FLPolyU @owensfellowship @PaytonBarnwell @ExploreSpaceKSC omg what an excellent choice ??,2019-04-04T22:37:22Z,121,0,0.748,0.252,0.5719,Florida Poly,Positive
"RT @YurisNight_FL: ANNOUNCING OUR LATEST AMBASSADOR–@flpolyu engineering student, NASA Solar Ambassador, @owensfellowship Fellow, and space…",2019-04-04T22:36:50Z,140,0,1,0,0,Florida Poly,Neutral
"RT @YurisNight_FL: ANNOUNCING OUR LATEST AMBASSADOR–@flpolyu engineering student, NASA Solar Ambassador, @owensfellowship Fellow, and space…",2019-04-04T22:36:04Z,140,0,1,0,0,Florida Poly,Negative
"ANNOUNCING OUR LATEST AMBASSADOR–@flpolyu engineering student, NASA Solar Ambassador, @owensfellowship Fellow, and space STEAM marvel @PaytonBarnwell. Meet Payton and all our 2019 Ambassadors Sat, April 13, 8pm-12-am, @ExploreSpaceKSC. Get your tickets&gt;&gt;&gt;https://t.co/dqnHgrIUPi https://t.co/8zhD6OKNxE",2019-04-04T22:29:52Z,311,0,0.917,0.083,0.4215,Florida Poly,Positive
"RT @Estonia_in_US: In cooperation with @TallinnTech and @FLPolyU the EMbassy hosts on April, 10 autonomous vehicles seminar “Science and Te…",2019-04-04T17:50:22Z,140,0,1,0,0,Florida Poly,Positive
"In cooperation with @TallinnTech and @FLPolyU the EMbassy hosts on April, 10 autonomous vehicles seminar “Science and Technology in Smart City Use Cases”. More information and registration: https://t.co/zsPa9BwPP4 https://t.co/OQqPBIzSc8",2019-04-04T17:36:51Z,237,0,0.912,0.088,0.4019,Florida Poly,Positive
"Join us for STEMapalooza 2019 presented by @Tech_Data at @FLPolyU on April 6! Tour the campus, hear from women in STEM, and innovate through hands on activities. Bring your family and friends for only $9/girl and $7/adult! https://t.co/Tdc3Q49Ds3 https://t.co/6hPrvskCmI",2019-04-04T17:24:10Z,270,0,0.799,0.201,0.8436,Florida Poly,Positive
The Central FL #AutonomousVehicle Partnership - including @MyFDOT @FLPolyU @NASA @UCF @FAMU_1887 @lynxbusorlando - sponsors @suntraxfl. The oval track at the heart of the project is part of a 475-acre testing center for AVs and “smart” technologies. https://t.co/hdga9HpMCQ https://t.co/XVlOXHLsBM,2019-04-04T16:15:01Z,297,0,1,0,0,Florida Poly,Neutral
Our new register has not arrived yet. We will continue our adjusted hours until further notice. Thank you for your understanding! @FLPolyU https://t.co/3vcOuSyTqJ,2019-04-03T13:03:16Z,162,0,0.887,0.113,0.4199,Florida Poly,Positive
Local officials are working toward creating a hi-tech research park at @FLPolyU that would marry academics with private companies to serve as an incubator for new products and #technologies and the #FLjobs they would create in Polk County @CFDCPolk. https://t.co/6XSXoQFbVS https://t.co/JRWIeVrxjr,2019-04-03T12:33:01Z,297,0,0.898,0.102,0.5106,Florida Poly,Positive
"RT @PortTampaBay: Ports America Terminal Manager, David Nelson, VP of Marketing and Business Development @PortTampaBay @wadeelliott13 , edu…",2019-04-03T06:53:46Z,140,0,1,0,0,Florida Poly,Negative
RT @FLPolyU: Another epic @FLPolyCon in the books! ?? https://t.co/PgYF9iIInG,2019-04-02T21:52:47Z,76,0.23,0.77,0,-0.4003,Florida Poly,Negative
