tweetText,tweetCreated,tweetLength,negSentiment,neuSentiment,posSentiment,comSentiment,Sentiment_Label
Dennis Pursley on Alabama's 200 medley relay win https://t.co/1soN3jdwqt via @YouTube,########,85,0,0.725,0.275,0.5859,Neutral
"RT @itsrachelle21: the emotional depth and clarity thatâ€™s here is just pure talentðŸ‘Œout of this world really. 
 
 Juan Karlos | Biyak (Lyric Viâ€¦",########,140,0,0.823,0.177,0.5106,Neutral
@pewdiepie Your video still isn't trending @YouTube what the hell.,########,66,0.338,0.662,0,-0.6808,Neutral
burning spear weeping and wailing + dub - live 1987 https://t.co/vGRou4pXN6 via @YouTube,########,88,0.225,0.775,0,-0.4404,Positive
"Gil Scott Heron- Angel Dust https://t.co/YmnocQOq51 via @YouTube
 
 HAPPY BIRTHDAY KING",########,84,0,0.619,0.381,0.6739,Neutral
Jigsaw Foundation community funding https://t.co/PMFQ6oD2FF via @YouTube,########,72,0,1,0,0,Neutral
@Michelle_RTR @YouTube Hope you have a great day!ðŸ™ðŸ»,########,51,0,0.407,0.593,0.807,Neutral
RT @Find_Kemo: #FindKemo The Cancer Support Dog https://t.co/fynUpO9ZMF via @YouTube @KarenFi51820768 #MondayMotivaton https://t.co/4epHoFdâ€¦,########,140,0.243,0.608,0.149,-0.4019,Neutral
RT @SanremoAncheNoi: #jazz [DISTORTION] Spanish Laughing Man El Risitas - Content Aware Scale https://t.co/xYlkATmSY5 via @YouTube,########,130,0,0.814,0.186,0.4939,Neutral
RT @connectorno2la1: connector no 2las music https://t.co/fplyn6SnFW via @YouTube,########,81,0.216,0.784,0,-0.296,Neutral
"@usali0039 @YouTube ðŸ™„ðŸ™„ðŸ™„ðŸ™„ðŸ™„ðŸ™„ðŸ™„ðŸ™„ðŸ™„ðŸ™„ðŸ™„ðŸ™„ðŸ™„ðŸ™„ðŸ™„ðŸ™„mail received fro multan ! 
 
 largest supplier of beggars for terrorist state Pakistan",########,120,0.277,0.723,0,-0.7177,Neutral
Linda Ronstadt &amp; Aaron Neville - Don't Know Much Subtitulado https://t.co/GpTAPDSuAr via @YouTube. For my Heart!!!,########,120,0,1,0,0,Neutral
"Jeanine Pirro Rips The FBI, DOJ &amp; CIA - Opening Statement https://t.co/6VJUU4ZipO via @YouTube",########,99,0,1,0,0,Neutral
"Every ""Meddling Kids"" comment from Scooby-Doo, Where Are You! https://t.co/E0ZaiS6xYn via @YouTube @NFLGMleague",########,111,0,1,0,0,Neutral
RT @8874Tiger: ã€Ayasaã€‘Re:Birthã€€ã€œAyasa Theater episode 7 https://t.co/09kMZtnWpk @YouTube #music #violinist #japanese Ayasaâ™¡ And Evâ€¦,########,140,0,1,0,0,Neutral
Evelyn Farkas Says Obama Admin Spied On Trump https://t.co/RnqolVKvH6 via @YouTube,########,82,0,1,0,0,Neutral
Braveheart: Scotts Fight On https://t.co/mdKj2F7OwQ via @YouTube,########,64,0.302,0.698,0,-0.3818,Neutral
Yeah! God Hand's back! Super Replay â€“ God Hand Episode 13: Cherry! https://t.co/cGFjITJJ3b via @YouTube,########,103,0,0.385,0.615,0.9243,Neutral
United States Sending Mercenaries WHERE?! https://t.co/1BrsDeRf5D via @YouTube,########,78,0,0.694,0.306,0.4753,Positive
Avengers Endgame Star Chris Evans Bashes Trump https://t.co/2jHnKtMPkW via @YouTube,########,83,0,1,0,0,Neutral
CHECK OUT https://t.co/tCfrZqDey9 NOW !! https://t.co/keTp7gLq0J via @YouTube,########,77,0,1,0,0,Neutral
RT @Get_Chip: Weigh down your spending. #FollowMyLead https://t.co/ZMnBcRylYf @Apple @RevolutApp,########,96,0,1,0,0,Neutral
RT @freiberg_max: @Apple make a debit card for us college kids who like the concept but donâ€™t want a credit score of 400,########,120,0,0.732,0.268,0.6808,Neutral
Dear @tim_cook @apple can we please have more dynamic wallpapers! Regular wallpapers are boring! Thanks!,########,104,0.096,0.419,0.485,0.8507,Neutral
"Happy Birthday to @PASenateGOP member @SenatorDiSanto! We hope you enjoy the best year yet. #HappyBirthday
 
 
 
 Did youâ€¦ https://t.co/aKErfIW5SX",########,140,0,0.495,0.505,0.9359,Neutral
"RT @Apple: Titanium, laser-etched, no numbers, and no fees. A new kind of credit card. Coming this summer.",########,106,0.212,0.676,0.111,-0.2716,Neutral
RT @Apple: Turn off your notifications when youâ€™re behind the wheel. Do Not Disturb While Driving. Thatâ€™s iPhone.,########,113,0,0.883,0.117,0.3089,Neutral
"Whenever I take videos of my dog or watch someone elseâ€™s pet videos I have to ask, why hasnâ€™t @Apple perfected AI nâ€¦ https://t.co/bQJh4Ntc6n",########,140,0,0.85,0.15,0.5719,Neutral
@Apple can yâ€™all pls make some sort of â€œclear allâ€ button? Iâ€™m the worst at closing my apps :( https://t.co/baKBS1VEim,########,118,0.277,0.672,0.051,-0.7717,Neutral
"Apple did me over on April fools by sending me a pink watch, nice one @Apple xxx",########,80,0.16,0.7,0.14,-0.1027,Negative
#Auburn University looking to add @Apple to list of its co-op opportunities for students - https://t.co/vL8x0FiZcJ #MetroCOLA #highered,########,136,0,0.86,0.14,0.3818,Neutral
RT @Apple: Let your phone do the reading for you. Speak Screen. Thatâ€™s iPhone.,########,78,0,1,0,0,Neutral
has anyone had @Apple plug in headphones electrocute their ears while wearing? Happened to me this morning. Had toâ€¦ https://t.co/VezplpqJhM,########,139,0,1,0,0,Neutral
"RT @Apple: Titanium, laser-etched, no numbers, and no fees. A new kind of credit card. Coming this summer.",########,106,0.212,0.676,0.111,-0.2716,Neutral
"Happy birthday, @Apple! Apple Computer Co. was formed #OTD in 1976 by Steve Jobs and Steve Wozniak. #NotAprilFools #Innovation #JustFun",########,135,0,0.826,0.174,0.6114,Neutral
RT @Apple: Apple TV+. A new home for the worldâ€™s most creative storytellers.,########,76,0,0.775,0.225,0.4927,Neutral
"RT @ValaAfshar: April 1, 1976 (43 years ago today):
 
 
 
 @Apple Computer is formed on April 1, 1976. It may have been April Fools' Day, but Steâ€¦",########,140,0.077,0.923,0,-0.2732,Positive
"RT @iddris_sandu: Excited to announce that i'll be teaching a class on design for the largest company in the world. ðŸ
 
 @Apple
 
 
 
 This is blackâ€¦",########,140,0,0.909,0.091,0.34,Neutral
@MadrasiBattery @Apple TrueðŸ˜‚ðŸ˜‚,########,29,0,1,0,0,Positive
"@apple @pschiller Now that some resources have cleared up (AirPower), why donâ€™t you devote some to making Apple casâ€¦ https://t.co/UT7Kofe6jV",########,140,0,0.826,0.174,0.4215,Positive
"Hey @Skype any word on being able to get Skype notifications, messages and or calls on the @Apple Watch again?â€¦ https://t.co/8AWbUCXY3s",########,135,0,1,0,0,Positive
@Apple Not true. Apple lets the US government to spy on its citizens.,########,69,0.163,0.837,0,-0.3252,Neutral
@julietibrahim Lets raise support for #JulieTibrahim @Emmizunik88 @HSBC @OghenetegaEmma2 @Apple @realDonaldTrumpâ€¦ https://t.co/BEr4q1L75k,########,137,0,0.803,0.197,0.4019,Neutral
"Iâ€™m ready to be able to change the background of my texts now.... @Apple Android been able to do that, itâ€™s one ofâ€¦ https://t.co/2dJpIGWpoQ",########,139,0,0.902,0.098,0.3612,Issue
@Oprah @tim_cook @Apple I'm so glad I have a android...dont want NOTHING to do with you. You evil individual @Oprah,########,115,0.179,0.611,0.21,-0.0602,Negative
@Apple u shouldnâ€™t be able to end a ft call by pressing the power button. i hung up on accident too much,########,104,0.147,0.853,0,-0.4767,Issue
Fun piece of @Apple history! Happy birthday Apple! ðŸŽ #tech #applenews https://t.co/SCCGkqjmFB,########,93,0,0.592,0.408,0.8217,Positive
@Martinwife2017 iPhone X @Apple ! Some natural light &amp; portait mode does wondersðŸ™Œ also some editing help from @Photoshop &amp; @Lightroom,########,141,0,0.756,0.244,0.6696,Positive
"Get on it, @Apple! https://t.co/rTLgu5ggTS",########,42,0,1,0,0,Positive
"Happy 43rd Birthday @Apple, ðŸŽ‚ (founded April 1st, 1976 by Steve Jobs and Steve Wozniak) #Apple https://t.co/XXfPtFrSqV",########,118,0,0.821,0.179,0.5719,Positive
@Apple @tim_cook hi apple notice me please i took this using iphone 6 #shotoniphone,########,83,0,0.827,0.173,0.3182,Neutral
"RT @TriviaPower: Madagascar is the worldâ€™s 4th largest island!
 
 @USMadagascar @wwf_mada @CINU261 @IQjackpot @hqtrivia @JustTheFactoids @Uberâ€¦",########,140,0,1,0,0,Neutral
@thekaelynn @Apple i b walkin on the treadmill ðŸ¤·â€â™‚ï¸ðŸ¤·â€â™‚ï¸ðŸ¤·â€â™‚ï¸,########,59,0,1,0,0,Neutral
"RT @GadgetsBoy: Hoping @Apple bundle some of the services. Gaming, Music, TV/Movies. I'm already subscribed to Netflix, Prime and Spotify,â€¦",########,139,0,0.872,0.128,0.4215,Negative
@Apple Do you realize what type of evil that you aligned yourself with by having Oprah? #muteoprah #cancelopraâ€¦ https://t.co/2sygnXyOeA,########,135,0.196,0.804,0,-0.6597,
"RT @ValaAfshar: April 1, 1976 (43 years ago today):
 
 
 
 @Apple Computer is formed on April 1, 1976. It may have been April Fools' Day, but Steâ€¦",########,140,0.077,0.923,0,-0.2732,Neutral
Anybody else experiencing that their #iPhoneX can do about anything BUT allow you to talk to someone? @Apple insistâ€¦ https://t.co/OxgXZEdAOF,########,140,0,0.89,0.11,0.3291,Issue
"I really respect this company. 
 
 @Apple",########,38,0,0.541,0.459,0.5256,Positive
Hello @tim_cook can you please stop selling me broken accessories @AppleSupport @Apple,########,86,0.319,0.542,0.139,-0.4588,Issue
@flywithsid @Apple Thanks for the link. I will see.,########,51,0,0.707,0.293,0.4404,Positive
"RT @BoredElonMusk: Hey @Apple, getting to Mars is a lot easier by rocket versus building a pile of cash that reaches that far. #Protip",########,134,0,0.833,0.167,0.4588,Neutral
Projecting April 7th for @SpaceX second launch of the #FalconHeavy. This will be the first launch since @Apple annoâ€¦ https://t.co/dgbx0Q6nSE,########,140,0,1,0,0,Neutral
"Note to future self: itâ€™s the @Apple macOS Preview app that lets you add text, shapes and lines to PDFs. No need toâ€¦ https://t.co/F6kPMWdHjA",########,140,0.087,0.913,0,-0.296,Negative
@rathibr @Apple Did you check out this? https://t.co/FccRrxB3MB,########,63,0,1,0,0,Neutral
RT @Apple: Survive the accidental spill on your phone. Water Resistance. Thatâ€™s iPhone.,########,87,0.098,0.902,0,-0.0772,Issue
RT @Apple: Turn off your notifications when youâ€™re behind the wheel. Do Not Disturb While Driving. Thatâ€™s iPhone.,########,113,0,0.883,0.117,0.3089,Neutral
RT @Apple: Pick the best shot from within a moving photo. Live Photos. Thatâ€™s iPhone.,########,85,0,0.756,0.244,0.6369,Neutral
@aspathak22 @Apple I'm enjoying the fact that next millennials would have no idea what AirPower is. But we will :),########,114,0.065,0.685,0.25,0.6808,Positive
"RT @Apple: Titanium, laser-etched, no numbers, and no fees. A new kind of credit card. Coming this summer.",########,106,0.212,0.676,0.111,-0.2716,Negative
"RT @AnnaKennedy1: World Autism Awareness Week 1-7 April 2019 https://t.co/2XMPVLawNz
 
 #autism #charity @apple #coventgarden #autismawarenessâ€¦",########,140,0,1,0,0,Neutral
@ElieFinegold @Apple @MetaPropNYC Both ðŸ˜‰,########,40,0,1,0,0,Neutral
"RT @Oprah: Iâ€™m partnering with @tim_cook and @Apple to leave this world a little bit smarter, kinder, and better than we found it. Apple TVâ€¦",########,140,0.04,0.672,0.288,0.8104,Positive
RT @Oprah: Who knew the elevator was going to spin? Only at @apple! https://t.co/aIV76v5nRm,########,91,0,1,0,0,Neutral
RT @Apple: Pick the best shot from within a moving photo. Live Photos. Thatâ€™s iPhone.,########,85,0,0.756,0.244,0.6369,Positive
@Apple Apple is good until Tim Cook decided to screw everything.,########,64,0.105,0.677,0.218,0.3612,Negative
"RT @AnnaKennedy1: World Autism Awareness Week 1-7 April 2019 https://t.co/2XMPVLawNz
 
 #autism #charity @apple #coventgarden #autismawarenessâ€¦",########,140,0,1,0,0,Neutral
"@Apple This is a MasterCard. Traditionally high (usery levels) interest rates. Also, limited to establishments that accept MC",########,125,0.088,0.651,0.26,0.5719,Positive
"Latest rating of 1,000+ US employers on equitable benefits, non-discrim practices, inclusive culture re: #LGBTQ worâ€¦ https://t.co/yfV4bSQRzB",########,140,0,0.86,0.14,0.3818,Positive
"RT @Apple: Titanium, laser-etched, no numbers, and no fees. A new kind of credit card. Coming this summer.",########,106,0.212,0.676,0.111,-0.2716,Neutral
"@Apple IPHONE FULLY SHOT STLISH SHORT FILM 
 
 https://t.co/k4mIebaL5g",########,67,0,1,0,0,Neutral
@Apple Itâ€™s only longer because your updates killed the batteries on the iPhone 6s.,########,83,0.257,0.743,0,-0.6705,Issue
RT @Apple: Turn off your notifications when youâ€™re behind the wheel. Do Not Disturb While Driving. Thatâ€™s iPhone.,########,113,0,0.883,0.117,0.3089,Positive
RT @Apple: Easily log into apps by using your face as your password. Face ID. Thatâ€™s iPhone.,########,92,0,0.87,0.13,0.34,Positive
@SimoneMSamuels @iTunes @tim_cook So strange. I contatcted @Apple but they just told me to update to the newest itâ€¦ https://t.co/Gc2R9k5dDS,########,140,0.086,0.914,0,-0.1737,Issue
RT @Apple: Survive the accidental spill on your phone. Water Resistance. Thatâ€™s iPhone.,########,87,0.098,0.902,0,-0.0772,Issue
I second this motion @instagram @Apple https://t.co/gI2UCxOKEu,########,62,0,1,0,0,Neutral
"So, a few weeks ago @Apple changed the female Australian voice on #HomePod, and itâ€™s TERRIBLE.",########,94,0.215,0.785,0,-0.5904,Issue
"Overheard: there are ~220 #VC backed IPOs in the queue for 2019, 10x the usual number, w/collective equity value apâ€¦ https://t.co/X3BgFdL3qc",########,140,0,0.789,0.211,0.4215,Neutral
"@Apple Never owned an Apple product, never will.",########,48,0,1,0,0,Negative
"Thank you @Apple for fixing my phone, @JoMaloneLondon for bringing out the most beautiful scent that I just HAD toâ€¦ https://t.co/7lCkTa6VSI",########,139,0,0.729,0.271,0.7713,Positive
I need an eyeball emoji that looks the other way ðŸ‘€ @Apple,########,57,0,1,0,0,Neutral
Yes its better than @Apple airpods https://t.co/fW3kohbErw,########,58,0,0.472,0.528,0.6808,Neutral
"One code to rule them all, #visa and #mastercard face off for next generation consumer payments. Personally I thinkâ€¦ https://t.co/7FMUzFL8jq",########,140,0,1,0,0,Neutral
"RT @TheAGamePodcast: You'd be foolish to miss the latest A-Game podcast! After their big announcement last week, @Apple is forging their waâ€¦",########,140,0.166,0.834,0,-0.4574,Neutral
No guys!!! If there is ANYTHING that will make me rethink my relationship with @Apple itâ€™s their USELESS chargers. ðŸ¤¬ðŸ¤¬ðŸ¤¬ ðŸ¤¬,########,120,0.223,0.777,0,-0.7656,Negative
RT @Apple: Pick the best shot from within a moving photo. Live Photos. Thatâ€™s iPhone.,########,85,0,0.756,0.244,0.6369,Neutral
"RT @EricStoller: How long before universities start using @Apple Business Chat as another student recruitment channel? Business tech today,â€¦",########,140,0,1,0,0,Neutral
RT @ICT_Works: Breaking News: @USAID Launches $4.1 Million Artificial Intelligence Initiative w/ @Google @Apple @amazon https://t.co/Z5zKhSâ€¦,########,140,0,0.829,0.171,0.4767,Neutral
"Nice, @Apple told me a new song was available on an album I had preordered - and then charged me for it, without purchase confirmation!",########,135,0.072,0.803,0.124,0.3164,Issue
"@Apple @tim_cook Wow such impressive camera &amp; easy to use, just works, #iPhone XS https://t.co/sNfQNjab87",########,109,0,0.545,0.455,0.875,Positive
About time @SamsungMobile release android pie for the s8. I hope you keep older phones supported like @Apple. Only downside to android,########,134,0.075,0.637,0.288,0.6908,Negative
"RT @telecoms: The @telecoms podcast returns this week with @Apple , @Huawei and Europe! Watch or listen to the full episode here: https://tâ€¦",########,140,0,1,0,0,Neutral
RT @seandalyWFTS: Christian is a GREAT interview. Always love heading out to @FLPolyU. In another world â€” one in which Iâ€™m wicked smahhht â€”â€¦,########,140,0.108,0.604,0.287,0.7672,Positive
"RT @garywhite13: Leaders of @FLPolyU plan trip to North Carolina State to gather ideas for how to promote research park around campus, as @â€¦",########,140,0,0.898,0.102,0.3818,Neutral
"RT @DeLorean5017: Here with the DeLorean at @FLPolyU @FLPolyCon in Lakeland, Florida. #flpolycon2019 #flpolycon #Lakeland #DeLorean https:/â€¦",########,140,0,1,0,0,Neutral
RT @FLPolyU: Another epic @FLPolyCon in the books! ðŸ”¥ https://t.co/PgYF9iIInG,########,76,0.23,0.77,0,-0.4003,Positive
Leaders of @FLPolyU plan trip to North Carolina State to gather ideas for how to promote research park around campuâ€¦ https://t.co/a0B6RIFCxZ,########,140,0,0.885,0.115,0.3818,Neutral
RT @FLPolyU: Another epic @FLPolyCon in the books! ðŸ”¥ https://t.co/PgYF9iIInG,########,76,0.23,0.77,0,-0.4003,Positive
"@JefWeissman @DeLoreanOwners @FLPolyU @FLPolyCon Totally wished, itâ€™ll be awesome to have. ðŸ˜Ž but itâ€™s just a stockâ€¦ https://t.co/e9ykhaDvjD",########,139,0,0.798,0.202,0.5499,Positive
@DeLorean5017 @DeLoreanOwners @FLPolyU @FLPolyCon Is it electric?,########,65,0,1,0,0,Neutral
"RT @DeLorean5017: Here with the DeLorean at @FLPolyU @FLPolyCon in Lakeland, Florida. #flpolycon2019 #flpolycon #Lakeland #DeLorean https:/â€¦",########,140,0,1,0,0,Neutral
"RT @DeLorean5017: Here with the DeLorean at @FLPolyU @FLPolyCon in Lakeland, Florida. #flpolycon2019 #flpolycon #Lakeland #DeLorean https:/â€¦",########,140,0,1,0,0,Neutral
"Here with the DeLorean at @FLPolyU @FLPolyCon in Lakeland, Florida. #flpolycon2019 #flpolycon #Lakeland #DeLorean https://t.co/d1s9us2tfv",########,137,0,1,0,0,Neutral
@FLPolyU Student Wins Madden Gaming Competition https://t.co/5W1uO4piUP #FLPolyU #Florida @MyNews13,########,99,0,0.709,0.291,0.5719,Neutral
.@FLPolyU also hosts its annual #PolyCon this weekend for all the nerds (like me) out there. https://t.co/X9rWaVLR2K https://t.co/DcImhvKQoB,########,140,0,1,0,0,Neutral
"RT @FLPolyU: Mark your calendars! Come join us for @FLPolyCon a day of all-inclusive geek culture celebration. 
 
 
 
 ðŸ—“Saturday, 3/30 
 
 ðŸ•™10:30 aâ€¦",########,140,0.081,0.807,0.112,0.1759,Neutral
"RT @FLPolyU: Sealing the deal in OT. ðŸŽ® 
 
 
 
 #FLPoly business analytics major wins #MaddenChallenge against hundreds of gamers in walk-off fashâ€¦",########,140,0,0.85,0.15,0.5719,Positive
"Florida Polytechnic University @FLPolyU Appoints Ombuds 
 
 https://t.co/I3ZsIya1Kr",########,81,0,1,0,0,Neutral
RT @seandalyWFTS: Christian is a GREAT interview. Always love heading out to @FLPolyU. In another world â€” one in which Iâ€™m wicked smahhht â€”â€¦,########,140,0.108,0.604,0.287,0.7672,Positive
Christian is a GREAT interview. Always love heading out to @FLPolyU. In another world â€” one in which Iâ€™m wicked smaâ€¦ https://t.co/AALkdZBaIv,########,140,0.116,0.578,0.307,0.7672,Positive
"RT @FLPolyU: Mark your calendars! Come join us for @FLPolyCon a day of all-inclusive geek culture celebration. 
 
 
 
 ðŸ—“Saturday, 3/30 
 
 ðŸ•™10:30 aâ€¦",########,140,0.081,0.807,0.112,0.1759,Neutral
"Mark your calendars! Come join us for @FLPolyCon a day of all-inclusive geek culture celebration. 
 
 
 
 ðŸ—“Saturday, 3/3â€¦ https://t.co/NXFraFY2ho",########,140,0.093,0.778,0.129,0.1759,Neutral
"RT @FLPolyU: Sealing the deal in OT. ðŸŽ® 
 
 
 
 #FLPoly business analytics major wins #MaddenChallenge against hundreds of gamers in walk-off fashâ€¦",########,140,0,0.85,0.15,0.5719,Neutral
"RT @FLPolyU: Sealing the deal in OT. ðŸŽ® 
 
 
 
 #FLPoly business analytics major wins #MaddenChallenge against hundreds of gamers in walk-off fashâ€¦",########,140,0,0.85,0.15,0.5719,Neutral
"Breaking ground this August, @FLPolyU's Applied Research Center will be a new #research hub for Central #Florida.â€¦ https://t.co/cIsr9l7rN8",########,138,0,1,0,0,Neutral
.@FLPolyU to host 5th @FLPolyCon in most interactive fashion https://t.co/MVkfV2G1ac,########,84,0,1,0,0,Neutral
"RT @ORLPartnership: Congratulations to @FLPolyU for announcing that its new 85,000 square foot Applied Research Center (ARC) will break groâ€¦",########,140,0,0.83,0.17,0.5994,Positive
"Congratulations to @FLPolyU for announcing that its new 85,000 square foot Applied Research Center (ARC) will breakâ€¦ https://t.co/uy0tTZC94s",########,140,0,0.813,0.187,0.5994,Positive
@FLPolyU CONGRATS!! #MaddenMan ðŸ‘,########,32,0,0.459,0.541,0.6924,Positive
Description of cybersecurity research in automated vehicle systems at â¦@FLPolyUâ©. Threat types described. https://t.co/db13prRH3X,########,129,0.207,0.793,0,-0.5267,Neutral
"RT @FLPolyU: Sealing the deal in OT. ðŸŽ® 
 
 
 
 #FLPoly business analytics major wins #MaddenChallenge against hundreds of gamers in walk-off fashâ€¦",########,140,0,0.85,0.15,0.5719,Neutral
"RT @FLPolyU: Sealing the deal in OT. ðŸŽ® 
 
 
 
 #FLPoly business analytics major wins #MaddenChallenge against hundreds of gamers in walk-off fashâ€¦",########,140,0,0.85,0.15,0.5719,Neutral
"RT @FLPolyU: Sealing the deal in OT. ðŸŽ® 
 
 
 
 #FLPoly business analytics major wins #MaddenChallenge against hundreds of gamers in walk-off fashâ€¦",########,140,0,0.85,0.15,0.5719,Neutral
"RT @FLPolyU: Sealing the deal in OT. ðŸŽ® 
 
 
 
 #FLPoly business analytics major wins #MaddenChallenge against hundreds of gamers in walk-off fashâ€¦",########,140,0,0.85,0.15,0.5719,Neutral
"RT @FLPolyU: Sealing the deal in OT. ðŸŽ® 
 
 
 
 #FLPoly business analytics major wins #MaddenChallenge against hundreds of gamers in walk-off fashâ€¦",########,140,0,0.85,0.15,0.5719,Neutral
"RT @FLPolyU: Sealing the deal in OT. ðŸŽ® 
 
 
 
 #FLPoly business analytics major wins #MaddenChallenge against hundreds of gamers in walk-off fashâ€¦",########,140,0,0.85,0.15,0.5719,Neutral
"RT @FLPolyU: Sealing the deal in OT. ðŸŽ® 
 
 
 
 #FLPoly business analytics major wins #MaddenChallenge against hundreds of gamers in walk-off fashâ€¦",########,140,0,0.85,0.15,0.5719,Neutral
"RT @FLPolyU: Sealing the deal in OT. ðŸŽ® 
 
 
 
 #FLPoly business analytics major wins #MaddenChallenge against hundreds of gamers in walk-off fashâ€¦",########,140,0,0.85,0.15,0.5719,Neutral
"RT @FLPolyU: Sealing the deal in OT. ðŸŽ® 
 
 
 
 #FLPoly business analytics major wins #MaddenChallenge against hundreds of gamers in walk-off fashâ€¦",########,140,0,0.85,0.15,0.5719,Neutral
"RT @FLPolyU: Sealing the deal in OT. ðŸŽ® 
 
 
 
 #FLPoly business analytics major wins #MaddenChallenge against hundreds of gamers in walk-off fashâ€¦",########,140,0,0.85,0.15,0.5719,Neutral
"RT @FLPolyU: Sealing the deal in OT. ðŸŽ® 
 
 
 
 #FLPoly business analytics major wins #MaddenChallenge against hundreds of gamers in walk-off fashâ€¦",########,140,0,0.85,0.15,0.5719,Neutral
"RT @FLPolyU: Sealing the deal in OT. ðŸŽ® 
 
 
 
 #FLPoly business analytics major wins #MaddenChallenge against hundreds of gamers in walk-off fashâ€¦",########,140,0,0.85,0.15,0.5719,Neutral
